City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Saldanha,ZA,-33.0117,17.9442,59.74,94,21,12.5,few clouds
200,Riyadh,SA,24.6877,46.7219,88.93,17,3,12.1,clear sky
201,Carnarvon,AU,-24.8667,113.6333,69.3,56,1,14.41,clear sky
202,Lompoc,US,34.6391,-120.4579,60.78,95,90,3.44,overcast clouds
203,Saint-Joseph,RE,-21.3667,55.6167,79.21,75,45,14.25,scattered clouds
204,Geraldton,AU,-28.7667,114.6,68.41,60,75,17.27,light intensity shower rain
205,Kouroussa,GN,10.65,-9.8833,71.11,95,100,1.99,light rain
206,Kaitangata,NZ,-46.2817,169.8464,44.42,63,98,7.96,overcast clouds
207,Brynmawr,GB,51.8,-3.1833,55.31,96,100,4.16,overcast clouds
208,Qaqortoq,GL,60.7167,-46.0333,30.7,55,4,7.78,clear sky
209,Saskylakh,RU,71.9167,114.0833,33.62,92,100,16.58,overcast clouds
210,Murray Bridge,AU,-35.1167,139.2667,69.49,30,0,6.87,clear sky
211,Talaya,RU,61.3833,152.75,34.86,97,100,8.3,overcast clouds
212,Kloulklubed,PW,7.0419,134.2556,86.5,75,42,12.19,scattered clouds
213,Elat,IL,29.5581,34.9482,80.44,29,0,13.8,clear sky
214,Verkhneuralsk,RU,53.8769,59.2106,50.2,45,100,10.6,overcast clouds
215,Bagru,IN,26.8088,75.5423,86.34,57,25,7.94,scattered clouds
216,Ambilobe,MG,-13.2,49.05,86.7,34,38,6.89,scattered clouds
217,Salekhard,RU,66.53,66.6019,39.74,61,61,10.65,broken clouds
218,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,5.75,clear sky
219,Zhigansk,RU,66.7697,123.3711,40.05,58,27,15.5,scattered clouds
220,Talara,PE,-4.5772,-81.2719,65.3,85,95,15.23,overcast clouds
221,Provideniya,RU,64.3833,-173.3,31.75,84,83,4.97,broken clouds
222,Adrar,MR,20.5022,-10.0711,87.37,26,88,7.61,overcast clouds
223,Bulgan,MN,48.8125,103.5347,45.1,46,75,6.35,broken clouds
224,Bahia Blanca,AR,-38.7196,-62.2724,60.48,46,77,11.48,broken clouds
