City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Manggar,ID,2021-09-25 14:56:17,-2.8833,108.2667,81.25,78,47,4.41
180,Innisfail,AU,2021-09-25 14:56:18,-17.5333,146.0333,67.19,90,28,3.4
181,Roebourne,AU,2021-09-25 14:56:18,-20.7833,117.1333,73.71,58,2,17.27
182,Orlik,RU,2021-09-25 14:56:18,52.5178,99.825,31.64,91,100,2.8
183,Bluff,NZ,2021-09-25 14:56:18,-46.6,168.3333,39.79,63,60,20.07
184,Preobrazheniye,RU,2021-09-25 14:56:19,42.9019,133.9064,58.19,85,100,3.87
185,Qaanaaq,GL,2021-09-25 14:54:49,77.484,-69.3632,21.24,70,99,8.1
186,Porteirinha,BR,2021-09-25 14:56:19,-15.7433,-43.0283,90.32,27,0,4.99
187,Puerto Ayora,EC,2021-09-25 14:56:19,-0.7393,-90.3518,71.56,85,99,8.72
188,Khandyga,RU,2021-09-25 14:56:19,62.6667,135.6,38.7,94,100,3.74
189,Kapaa,US,2021-09-25 14:56:20,22.0752,-159.319,75.52,78,40,1.99
190,Bose,IT,2021-09-25 14:56:20,45.4612,8.0137,68.76,81,97,3.65
191,Bonavista,CA,2021-09-25 14:56:20,48.6499,-53.1147,55.4,62,83,8.57
192,Fonte Boa,BR,2021-09-25 14:56:20,-2.4959,-66.2662,88.0,58,26,3.24
193,Adwa,ET,2021-09-25 14:56:20,14.1646,38.8955,68.63,57,99,2.06
194,Kristiansand,NO,2021-09-25 14:56:21,58.1467,7.9956,62.62,48,0,9.22
195,Vagur,FO,2021-09-25 14:56:21,61.4732,-6.8119,52.38,94,100,30.71
196,Sikasso,ML,2021-09-25 14:56:21,10.9167,-7.0,89.64,50,48,4.21
197,Salalah,OM,2021-09-25 14:55:19,17.0151,54.0924,81.05,86,44,4.16
198,Pimenta Bueno,BR,2021-09-25 14:56:21,-11.6725,-61.1936,103.32,25,20,3.0
199,Kutum,SD,2021-09-25 14:56:22,14.2,24.6667,84.9,23,74,19.51
200,Onguday,RU,2021-09-25 14:56:22,50.75,86.15,34.59,66,100,2.98
201,Sao Felix Do Xingu,BR,2021-09-25 14:54:08,-6.6447,-51.995,99.21,28,53,5.48
202,Sao Paulo De Olivenca,BR,2021-09-25 14:56:22,-3.3783,-68.8725,80.02,76,99,4.65
203,Poum,NC,2021-09-25 14:56:22,-20.2333,164.0167,71.33,70,98,5.5
204,Huai Yot,TH,2021-09-25 14:56:23,7.7893,99.6348,76.14,92,100,1.63
205,Norman Wells,CA,2021-09-25 14:56:23,65.282,-126.8329,32.04,93,90,13.8
206,Zhumadian,CN,2021-09-25 14:52:40,32.9794,114.0294,67.24,95,100,10.8
207,Koumac,NC,2021-09-25 14:56:23,-20.5667,164.2833,67.8,77,20,3.09
208,Coquimbo,CL,2021-09-25 14:52:55,-29.9533,-71.3436,55.13,87,90,4.61
209,Wagar,SD,2021-09-25 14:56:23,16.1525,36.2032,97.93,26,24,1.79
210,Moerai,PF,2021-09-25 14:56:24,-22.4333,-151.3333,72.52,71,100,11.72
211,Tobermory,CA,2021-09-25 14:56:24,45.2501,-81.6665,54.3,85,100,17.83
212,Madang,PG,2021-09-25 14:55:35,-5.2246,145.7966,78.39,89,48,7.87
213,Nome,US,2021-09-25 14:54:49,64.5011,-165.4064,39.16,96,100,8.97
214,Thunder Bay,CA,2021-09-25 14:52:05,48.4001,-89.3168,51.57,92,75,3.44
215,Padang,ID,2021-09-25 14:56:24,-0.9492,100.3543,78.85,88,99,1.57
216,Boyolangu,ID,2021-09-25 14:56:24,-8.1181,111.8935,76.17,89,83,6.53
217,Mount Gambier,AU,2021-09-25 14:56:25,-37.8333,140.7667,42.71,93,90,3.44
218,Labuhan,ID,2021-09-25 14:56:25,-6.8844,112.2051,80.67,77,46,6.35
219,Lucea,JM,2021-09-25 14:56:25,18.451,-78.1736,87.85,68,7,7.7
220,Richards Bay,ZA,2021-09-25 14:55:07,-28.783,32.0377,76.05,65,56,15.99
221,Casablanca,MA,2021-09-25 14:55:44,33.5928,-7.6192,82.42,61,0,13.0
222,Kavieng,PG,2021-09-25 14:56:25,-2.5744,150.7967,82.29,78,11,15.37
223,Alekseyevsk,RU,2021-09-25 14:56:26,57.8406,108.3492,39.74,90,100,8.21
224,Mandalgovi,MN,2021-09-25 14:56:26,45.7625,106.2708,51.26,27,17,15.41
225,Narsingi,IN,2021-09-25 14:56:26,18.0333,78.4333,73.35,92,98,5.73
226,Mehamn,NO,2021-09-25 14:56:26,71.0357,27.8492,47.95,79,100,7.36
227,Itarema,BR,2021-09-25 14:56:26,-2.9248,-39.9167,89.4,51,61,20.45
228,Porto Walter,BR,2021-09-25 14:56:27,-8.2686,-72.7439,92.5,42,75,1.39
229,Chuy,UY,2021-09-25 14:56:27,-33.6971,-53.4616,61.97,84,98,10.89
230,Vanavara,RU,2021-09-25 14:56:27,60.34,102.2797,29.34,78,7,3.71
231,Perry,US,2021-09-25 14:56:27,37.2506,-83.1999,65.53,49,98,5.53
232,Alta Floresta,BR,2021-09-25 14:56:28,-9.8756,-56.0861,87.62,55,0,3.44
233,Lishui,CN,2021-09-25 14:56:28,28.4604,119.9103,70.54,92,86,3.78
234,Mwinilunga,ZM,2021-09-25 14:56:28,-11.7358,24.4293,88.27,13,36,9.17
235,Creel,MX,2021-09-25 14:56:28,27.75,-107.6333,59.94,69,100,3.31
236,Abu Samrah,SY,2021-09-25 14:56:29,35.3029,37.1841,78.4,23,0,2.66
237,Vestmannaeyjar,IS,2021-09-25 14:55:50,63.4427,-20.2734,41.99,81,90,26.46
238,Andros Town,BS,2021-09-25 14:56:29,24.7,-77.7667,85.96,65,87,5.44
239,Chanika,TZ,2021-09-25 14:56:29,-5.4167,38.0167,76.46,53,89,8.34
240,Marsa Matruh,EG,2021-09-25 14:56:29,31.3525,27.2453,75.09,57,2,13.18
241,Vila Franca Do Campo,PT,2021-09-25 14:56:30,37.7167,-25.4333,73.81,70,100,15.52
242,Beyneu,KZ,2021-09-25 14:56:30,45.3167,55.2,69.62,42,3,14.72
243,Talaya,RU,2021-09-25 14:56:30,61.3833,152.75,33.1,87,100,2.08
244,Leningradskiy,RU,2021-09-25 14:56:30,69.3833,178.4167,19.62,75,100,7.45
245,Sharan,RU,2021-09-25 14:56:30,54.8167,54.0,53.17,42,100,4.88
246,Selizharovo,RU,2021-09-25 14:56:31,56.8519,33.4487,46.45,98,100,6.46
247,Kahului,US,2021-09-25 14:56:31,20.8947,-156.47,77.85,82,7,7.0
248,Dolores,AR,2021-09-25 14:56:31,-36.3132,-57.6792,62.56,69,92,13.15
249,Thinadhoo,MV,2021-09-25 14:56:31,0.5333,72.9333,82.9,76,87,12.5
250,Ancud,CL,2021-09-25 14:56:32,-41.8697,-73.8203,53.13,88,98,12.15
